dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
noise_strength,warp_amplitude:high,smolvlm2_2b,170,12,0.0706,4,0.0235,12,0.0706,0.9820,0.7872,1.7693
noise_strength,warp_amplitude:high,smolvlm_500m,170,3,0.0176,7,0.0412,4,0.0235,0.7950,0.6262,1.4212
noise_strength,warp_amplitude:low,qwen2_vl_2b,295,228,0.7729,98,0.3322,229,0.7763,0.3657,0.1890,0.5547
noise_strength,warp_amplitude:low,smolvlm2_2b,295,209,0.7085,26,0.0881,210,0.7119,0.9114,0.7977,1.7092
noise_strength,warp_amplitude:low,smolvlm_500m,295,150,0.5085,18,0.0610,150,0.5085,0.7007,0.6365,1.3372
noise_strength,warp_amplitude:medium,qwen2_vl_2b,335,53,0.1582,26,0.0776,61,0.1821,0.3595,0.1712,0.5306
noise_strength,warp_amplitude:medium,smolvlm2_2b,335,65,0.1940,15,0.0448,67,0.2000,0.9331,0.7942,1.7273
noise_strength,warp_amplitude:medium,smolvlm_500m,335,20,0.0597,10,0.0299,25,0.0746,0.7504,0.6199,1.3703
noise_strength,warp_frequency:high,qwen2_vl_2b,155,3,0.0194,4,0.0258,4,0.0258,0.3448,0.1666,0.5114
noise_strength,warp_frequency:high,smolvlm2_2b,155,12,0.0774,3,0.0194,12,0.0774,0.9850,0.7881,1.7731
noise_strength,warp_frequency:high,smolvlm_500m,155,3,0.0194,6,0.0387,4,0.0258,0.7809,0.6203,1.4012
noise_strength,warp_frequency:low,qwen2_vl_2b,241,193,0.8008,87,0.3610,193,0.8008,0.3538,0.1878,0.5416
noise_strength,warp_frequency:low,smolvlm2_2b,241,186,0.7718,23,0.0954,186,0.7718,0.9110,0.7985,1.7096
noise_strength,warp_frequency:low,smolvlm_500m,241,132,0.5477,16,0.0664,132,0.5477,0.6986,0.6372,1.3358
noise_strength,warp_frequency:medium,qwen2_vl_2b,404,88,0.2178,37,0.0916,97,0.2401,0.3674,0.1742,0.5416
noise_strength,warp_frequency:medium,smolvlm2_2b,404,88,0.2178,19,0.0470,91,0.2252,0.9311,0.7936,1.7247
noise_strength,warp_frequency:medium,smolvlm_500m,404,38,0.0941,13,0.0322,43,0.1064,0.7521,0.6242,1.3763
