dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
answer_sign,negative,qwen2_vl_2b,123,42,0.3415,14,0.1138,42,0.3415,0.3873,0.1836,0.5709
answer_sign,negative,smolvlm2_2b,123,40,0.3252,1,0.0081,40,0.3252,0.9269,0.7923,1.7193
answer_sign,negative,smolvlm_500m,123,32,0.2602,2,0.0163,33,0.2683,0.7198,0.6157,1.3355
answer_sign,positive,qwen2_vl_2b,651,230,0.3533,109,0.1674,239,0.3671,0.3541,0.1753,0.5294
answer_sign,positive,smolvlm2_2b,651,235,0.3610,43,0.0661,237,0.3641,0.9365,0.7948,1.7313
answer_sign,positive,smolvlm_500m,651,132,0.2028,33,0.0507,136,0.2089,0.7459,0.6291,1.3750
answer_sign,zero,qwen2_vl_2b,26,12,0.4615,5,0.1923,13,0.5000,0.3462,0.1832,0.5294
answer_sign,zero,smolvlm2_2b,26,11,0.4231,1,0.0385,12,0.4615,0.9519,0.7820,1.7339
answer_sign,zero,smolvlm_500m,26,9,0.3462,0,0.0000,10,0.3846,0.7349,0.6388,1.3737
